,id,title,description
747,003632,Youth Mod Society,
748,003704,Cell Devel Bio,
749,003706,Microbiology,
750,003708,Genetics,
751,004246,Biology Field Std,
752,004254,General Chemistry,
753,004264,Themes in Amer Lit,
754,003540,Art of India,
755,007223,Advanced Composition,Advanced Comopsition
756,007224,Creative Writing,Creative Writing
757,007226,The Works of Shakespheare,The Works of Shakespheare
758,007228,World History,World History
759,007229,United States History I,United States History I
760,007233,History of the Contemp World,History of the Contemporary World
761,007240,Calculus,Calculus
762,007241,Statistics,Statistics
763,007242,Linear Algebra,Linear Algebra
764,007246,Introduction to Philo,Introduction to Philosophy
765,003514,Barg Influ Behav,
766,003338,Renaissance,
767,003340,Amer Lit 1855,
768,003348,Fld Std Tutor,
769,003358,Meth Archaeology,
770,003362,Thucydides,
771,003366,Sem Oratory,
772,003370,Int Greek,
773,003384,African Am Ind Age,
774,003386,Eth Gendr Sexuality,
775,003388,Film of Color,
776,003404,Mestiza Cons,
777,004124,Adv Life Supt,
778,004148,Flower Arr,
779,004162,Read & Write I,
780,004164,Read & Write II,
781,004174,World Lit,
782,004198,Nurse Caring Conc III,
783,004206,Nurse Care at Risk,
784,004022,Intro to Programming,
785,004032,Database Mgt Syst,
786,004038,Struct Music II,
787,004054,Hist Lit Music I,
788,004056,Hist Lit Music II,
789,004058,Struct Music III,
790,004064,Aural Percept IV,
791,004074,Struct Repair III,
792,004076,Struct Repair IV,
793,004078,Adv Comp Rep I,
794,007141,History of American Law,History of American Law
795,007207,General Microbiology,General Microbiology
796,007208,Human Anatomy & Physiology,Human Anatomy and Psyciology
797,666739,Econ and Environment Policy,"Provides an examination of environmental policy from an economic perspective. Sustainable development is a central theme which is applied at national and global levels. Students undertaking the course will be introduced to a range of environmental concerns and policy debates. Topics include Global Environmental Change, Transport & the Environment and Business & the Environment. The course can be taken with ECON 2017."
798,004344,Indian Art,
799,004356,Intro Ethnic Std,
800,007333,Advanced Painting,Advanced Painting
801,007155,Exploration of Inst in Science,Exploration of Instruction in Science
802,007166,Philosophy of the Greeks,Philosophy of the Greeks
803,007169,Greek Political Philosophy,Greek Political Philosophy
804,007170,Greek/Roman Religion,Greek/Roman Religion
805,007171,Aristotle,Aristotle
806,007183,Instrumental Analysis,"Fundamentals of volumetric, chromatagraphic, spectrographic and electromechanical analysis. Emphasis is on the principles of each method, and the nature of of matrix and other effects that influence the quality of the data obtained."
807,003546,Gothic Sculpt,
808,003548,Abstract Algebra,
809,003554,Adv Probability,
810,003746,Organic Chem I,
811,007187,Gangs & Adolescent Subcultures,"Examines gang phenomena nationally and regionally.  Focus on organizational, behavioral, etiological, and preventive factors associated with development and perpetuation.  Street, motorcycle, prison, ehtnic and other subcultural formations are examined."
812,007189,Juvenile Delinquency,"Social context, definition, implications, and causes of juvenile delinquency as a social phenomenon; analysis of factors associated with delinquent behavior.  Problems of adjustment of delinquents and factors in treatment and in post-treatment adjustment."
813,007190,Psychology of Sports I,Explores the impact of modern sports on the athletes and fans.
814,007319,Econ History Europe Since 1850,Analysis of European economic development from the Industrial Revolution through the present day.
815,666761,Financial Accounting,General Introduction to financial reporting to internal and external groups. Emphasis is placed on the fundamental accounting concepts and the preparation and interpretation of the financial reporting statements of sole proprietorships and limited liability companies.
816,666680,Analysis of Soccer,"Analysis and refinement of skill requirements; examination of concepts, rules, strategies, history and appreciation; and adaptations for special populations related to the field sport of soccer."
817,000168,Dynamic Models,This course explains dynamic models.
818,007263,Intro to Thermodynamics,"Thermodynamic laws, thermodynamic potentials, applications; distribution laws, kinetic theory, transport phenomena, specific heats."
819,007130,History of the US,History of the United States
820,007131,European History I,European History I
821,666671,Public Economics,"Government intervention changes opportunities and incentives for firms, families, individuals, service providers, and state and local government. This course considers the incentive effects of government expenditure programs. The primary emphasis will be in the examination of the effect of social expenditure programs on individuals and families. Most of the papers will be empirical. The course will not contain an explicit section on methodology and econometric techniques; instead, relevant econometric techniques (e.g., discrete choice, duration analysis) will be discussed in the context of the empirical literature"
822,666673,Psychology Special Topics,An intensive study of a psychological topic.
823,004216,Hum Physi,
824,001279,Freshman Seminar in Honors,
825,003566,Intro to Logic,
826,003802,Clin Med,
827,003826,Clin Med Ethics,
828,007134,World History for Teachers,World History for Teachers
829,007135,Renaissance & Reformation,Renaissance & Reformation
830,007137,US Civil War & Reconstruction,US Civil War & Reconstruction
831,000066,Mathmatical Methods EE,This course examines mathematical methods EE.
832,666752,Public Finance,Presents the theoretical issues of public finance as a basis for the evaluation of current public policy. Both the traditional `social optimality¿ and the modern `public choice¿ approaches will be adopted.
833,666916,Intermediate Japanese,
834,666919,Academic Skills: Psychology 1,
835,666920,Experimental Psychology,
836,666924,Brain and Behaviour,
837,666926,Academic Skills: Psych 3:paper,
838,666709,Dissertation,
839,666765,Business Information Systems,"Provides a basic introduction to the key role of information in all types of business context.  The importance of effective requirements analysis in the development of information systems is emphasised, together with appropriate diagramming techniques."
840,000036,Physics 1,This course provides an introduction to physics.
841,000029,Higher Mathematics 1A,This course teaches the concepts of Higher Mathematics 1A.
842,000052,Real Analysis,This course examines real analysis theory and mathematical concepts.
843,007257,Math of Physics and Engin I,First-order differential equations; second-order linear differential equations; determinants and matrices; systems of linear differential equations; Laplace transforms.
844,666865,Research Utilization,Research Utilization
845,666866,Nursng Older Adults & Families,Nursing Care of Older Adults and Families
846,666722,Skills for  Economics,"Introduces students to a range of skills in economic understanding, problem solving and analysis."
847,666724,Industrial Economics,Provides and  introduction to industrial economics - the economics of the company which is aimed at non-economics specialists. Those with an economics background will find it a stimulating critique of orthodox neo-classical ideas.
848,666730,Mainstream Macroeconomics I,"This course traces the origins and development of modern macroeconomics in historical perspective in the period from the mid 18th century through to the mid 1960s. Among the main topics discussed are: the central beliefs of the old classical school (including the classical theory of employment and output determination, Say¿s law and the quantity theory of money); Keynes¿s General Theory of Employment, Interest and Money and Keynes¿s main propositions; the central tenets underlying, and the policy implications of, the orthodox Keynesian school."
849,666715,Modern and Postmodern Practice,"For students new to the study of dance, the fundamental class will develop skills basic to all movement studies, i.e., dynamic alignment through coordination and integration of the neuro/skeletal/muscular system, strength, balance, and basic spatial and rhythmic awareness. For the beginning student, emphasis will be on the continued development of basic skills, energy use, strength, and control. Introduction of stylistic forms and their development will begin at this level. Intermediate and advanced students will study more complex movement patterns, explore movement problems, and concentrate on the demands of performance. At all levels attention will be given to sharpening each student¿s awareness of time and energy and to disciplining the body to move rhythmically, precisely, and in accordance with sound anatomical principles."
850,007298,"Fuel,Emission&Com Control 1",
851,004368,Soc Hist Chicanos,
852,004372,Native Amer Cult,
853,007002,Neurology I,
854,007175,Greek Language 3,
855,000428,Optics,
856,000430,Thermal Physics,
857,000434,Methods Mathematical Phys II,
858,003748,Organic Chem II,
859,003770,Human Embry,
860,000032,Higher Mathematics 1B,This course explores Higher Mathematics concepts.
861,666886,Silicon Valley Econ Problems,
862,000179,Microeconomics 2,This course explains the fundamental concepts of microeconomics 2.
863,000181,Introductory Econometrics,This course introduces the theories of econometrics.
864,000188,Political Economy,This course explains political economy.
865,000189,Markets & Public Choice,This course explains markets and public choice.
866,000358,Work Experience - Commerce,Commerce - Work Experience
867,000225,Capital Markets & Institutions,This course teaches the concepts of capital markets and institutions.
868,000226,Business Finance,This course teaches the fundamental concepts of business finance.
869,000232,Credit Analysis & Lending,This course teaches the concepts of credit analysis and lending.
870,666756,Technology and Growth II,Part 2 of a 2 semester course. Examines the development of new technologies and the role new technology plays in generating economic growth. It seeks to provide an understanding of the nature of technological progress and its impact on production.
871,666734,"Company,  Finance and Strategy","Introduces students to the basic principles of both financial management and strategic management. Its purpose is to enable the detailed study of the performance of a publicly held company over a two-year period. The use of both financial statements and stock market information together with newspaper reports and trade journals are utilized to glean information on company performance, economic factors affecting corporate strategy."
872,667118,TICE - Info.& comm. L3S6EC,
873,667120,Specialized English M1S1,
874,667122,Applied subjects (5 ) M1S1,
875,667131,Option to select,
876,666851,Pathophysiology,
877,007314,Popular Culture in America,
878,007316,Monetary Policy,
879,667031,Medieval studies OL4,
880,667032,Linguistic system disc. OL3,
881,667034,British civilization OL3,
882,667035,American Civilization OL3,
883,667038,Image analysis - US - OL4,
884,667039,Contemp.English Literature OL3,
885,667048,Language & US Society OL5,
886,666798,Technology and Culture,
887,003090,Classic Iss in Soc Psy,
888,667243,Computer Logic,
889,007324,Industrial Organization,
890,111111,Lit of Ethnicity and Gender,
891,000446,Calculus & Analytic Geo I,
892,666701,Advanced Inorganic Chem,
893,666702,Interfacial & Electrochemistry,
894,666717,Molecular Biology,"Introduction to the molecular aspects of modern biology.  Introduces the molecules that play a key role in biology, including DNA, proteins, and carbohydrates. Topics to be covered include: the molecules of life; membranes and the uptake of nutrients; proteins, enzymes and metabolism; DNA, genes and genetic engineering; the role of genes in the control of development. Examples will be drawn from different areas of biology, with a significant emphasis on the molecular basis of human disease."
895,666850,Evidence based Nursing Pract,Evidence based Nursing Practice
896,666708,Sociology of Religion,
897,666977,"Edu., Labour and Life Chances",
898,666981,Comtemp Social Theories,
899,666982,Strategic HRM,
900,667051,Text analysis OL6,
901,666683,Introductory Accounting I,
902,666684,Introductory Accounting II,
903,666696,Historical Documents & Sources,
904,003784,Pathophys II,
905,003794,Med Prob II,
906,000448,Calculus & Analytic Geo III,
907,000422,Engr Physics IV and Lab,
908,667022,Spanish L3S5EC,Spanish L3S5EC
909,666679,Sociology of Gov't,
910,666686,Intro Legal Study & Contracts,
911,666995,Other foreign language L1S2,
912,666999,Language L2S4,
913,667428,Interdis. Study Law & Society,
914,667430,Dutch Language & Literature,
915,667433,German Language & Literature,
916,666803,Introduction to Management,
917,666814,Graduate Enterprise 1,
918,666960,Clinical Skills,
919,666869,Medical Spanish II,Medical Spanish II
920,666771,Consumer Behavior,This coures provides an integrative approach to consumer behaviour and the role that it plays within marketing strategy. Students will acquire knowledge about the issues and dimensions of consumer behaviour and recognise the importance of external and personal internal factors in determining behaviour and attitudes.
921,666693,Acctg & Security Valuation,
922,000097,Accounting Information Systems,"Business systems form an integral part of the operation of the modern business organisations. This course takes a close look at the way these systems are structured in organisations, typically in enterprise-wide systems such as ERP systems, to ensure that they are able to successfully collect and process information relating to their core transactions."
923,666767,Management,A review of the key questions facing today¿s managers. This course seeks to explain the pivotal role of managers as knowledge workers in planning and controlling organizations. Management skills are developed through the application of concepts in practical settings.
924,666940,Intro Clinical Neuropsychology,
925,666941,Correlational Research Meth. 1,
926,666943,Research Skills in Psychology,
927,666945,Group Dynamics,
928,666951,Organisational Psychology,
929,666759,Development Economics,This course seeks to explain the need for development and discusses the interdependence of developed and developing countries. It evaluates a variety of interpretations of development and analyzes the major theories of development and underdevelopment. The problems facing developing countries are identified and polices discussed that seek to solve them. Sustainable development is a key theme used to debate the approaches used to assess and respond to development problems
930,666887,Public Finances,
931,666892,Government and Economy,
932,666895,Intership Applied Economics,
933,666897,Weather and Climate,
934,666800,Business Matters,
935,666816,Management Accounting for Busi,
936,666819,Investment,
937,666822,Small Business Management,
938,666824,Business in the Arab World,
939,666825,Business in the Spanish Speaki,
940,666826,Gaining Credit in the Workplac,
941,666731,Mainstream Macroeconomics II,"Traces the origins and development of modern macroeconomics in historical perspective in the period from the mid 1950s through to the present day. Among the main topics discussed are the central tenets underlying, and the policy implications of: the monetarist, new classical, real business cycle and new Keynesian schools of macroeconomic thought"
942,667104,Orientation and choices L1S2EC,
943,667105,Phonetics & Compreh. L2S3EC,
944,667107,Grammar L2S3EC,
945,667529,Nutrition,
946,667419,Criminal Liability,
947,667421,Intern.l Private Law for IEL,
948,667344,Intro Math Finance & Insurance,
949,667345,Comp Programming for EOR,
950,667445,Profile Coursework Paper,
951,667448,Organisation Theory,
952,667450,Relations & Networks of Organ.,
953,667451,Cult. Diversity & Social Coh.,
954,667318,Proofs and Tecniques,
955,667184,Meth. Prof. report M2S4EC1,
956,667518,Applied Pathophysiology,
957,667206,Econometrics (ESP),
958,667216,Regulation and Comp (ESP),
959,667226,Political Economy (ESP),
960,666782,Employment Relations,"Introduces students to the subject area of employment relations. It provides a framework for analysis the development, structure and legal framework of employment relations in the United States. Students will review and evaluate employment relations theories and practices. They will assess the nature of employment relations institutions and procedures and consider employment relations strategies within unionized and non-unionized contexts."
961,666783,Corp Social Responsibility,"The module introduces the issues currently facing business in order that students may incorporate ethical, environmental and responsible dimensions into management thinking. The module provides an interdisciplinary study of the nature of corporate social responsibility from a strategic perspective."
962,666969,Cult. Psych.for non-Psychology,
963,666970,"Labour, Care and Leisure",
964,667138,Spanish eco issues M1S1EC3,
965,667304,Human Physgy in Health/Disease,What will I cover in this module?    You'll explore the concept of disease within the context of normal physiological mechanisms. You'll be assessed through computer based assessments and a major piece of written work based on the development of a case study scenario.    How many credits is it worth?  15
966,667071,Scotland OL6,
967,667248,Discrete Mathematics,
968,667379,European Legal History A,
969,667382,Dutch Language Assessment,
970,666961,Neuropsych. Assessment & Dev.,
971,666785,Strategic Marketing,This course builds upon marketing principles by analyzing the nature of marketing strategy and strategic marketing planning. It provides a comprehensive and integrated framework for the direction and management of the marketing function.
972,667085,American civilization L2S1EC,
973,667088,Translation from Engl.L1S1EC,
974,007317,Social Psychology,
975,666989,Literature L1S2,
976,667332,Statistics 1,
977,666779,Relationship Marketing,"Investigates recent theoretical developments in relationship marketing. Key theoretical developments will be evaluated, and will become the basis for practical application and understanding.     Assess and evaluate how relationship marketing is being utilized by organizations, and the problems and opportunities it provides for firms. The future potential of relationship marketing will be examined."
978,667004,Translation L2S3,
979,666781,Strategic HR Management II,"Critically appraise concepts and models of strategic HRM and to evaluate the contribution of HRM to the organisation. Analyse practice and theory in human resource strategy with particular reference to planning, recruitment and selection, development, performance management, reward and other contemporary strategy areas. Show how elements of human resource strategy  integrate vertically and horizontally. Part 2 of a 2 part course."
980,666864,Senior Seminar,
981,666868,Medical Spanish I,
982,666874,Chemistry and Society,
983,666878,Economic Dev & Poor Nations,
984,666880,Latin America,
985,667160,Corporate strategy M1S2EC4,
986,667165,Professional project M1S2EC6,
987,667170,Geopolitics& exchange M2S3EC1,
988,667173,Sales techniques M2S3EC1,
989,667134,Computer M1S1EC1,
990,667149,Business communication M1S1EC4,
991,667155,Eco. & social issues M1S2EC2,
992,667347,Econometrics 1,
993,667234,Writing & Communication Skills,
994,667244,Computer Networks,
995,667245,Operating Systems,
996,667053,Victorian Artists OL6,
997,667054,18th Century Civilization OL5,
998,667056,Medieval studies OL5,
999,667061,Ireland OL6,
1000,667062,English Litterature OL5,
1001,667068,Linguistics and analysis OL5,
1002,666985,Propedeuse SPSS,
1003,667296,Cellular/Molecular Processes,How many credits is it worth?  15
1004,666987,British & US civilization L1S2,
1005,667188,Microeconomics (ESP),
1006,667698,Werkveldorientaties(VMBO/BVE),
1007,667276,MicroEco 4 EBE: Info Economics,
1008,667278,Thesis Economics & Business,
1009,667492,European Lives,"MODULE DESCRIPTION    This module aims to familiarise you with various forms of life-writing in the  twentieth century. We will look at two historical events and assess and evaluate  how they are represented by literature from various cultural backgrounds. You will investigate the appropriate cultural and historical contexts, explore appropriate theories, and relate all of this to your analysis of our chosen texts.    LEARNING OUTCOMES  On successful completion of this module you will be able to:  1. Analyse European life-writing in relation to twentieth-century historical events.  2. Critically analyse and evaluate the personal and cultural assumptions underlying the viewpoint of individual writers.  3. Evaluate and synthesise a range of theoretical positions relating to trauma and apply to selected texts."
1010,667145,German prof. Comm. M1S1EC3,
1011,667147,Project Management M1S1EC4,
1012,667316,Microbial Interactions,What will I cover in this module?    You'll investigate the interactions between micro-organisms and their hosts and you'll gain an understanding of the range of methods by which they can be controlled.    How many credits is it worth?  15
1013,667012,Grammar L3S5EC,Grammar L3S5EC
1014,667397,English Legal Language Skills,
1015,667567,Internal Combustion Engines,"12 HEQF credits, Fourth-year, first-semester course.   Convener:    Prerequisites: MEC3033F.   Course outline: Spark-ignition engines; Diesel engines; normal combustion; modelling the thermodynamic processes; abnormal combustion; Engine design and combustion chamber influences; Practical causes of inefficiency; Engine performance maps, Fuels and Fuel systems; Exhaust emissions and their control, External environment, Future trends and technologies.   Lecture times: TBA. Lectures: 36, practicals: 2.  DP requirements: attendance of all practicals and an average of 50% on class assignments   Assessment: Assignments count 15%; final 3 hour examination counts 85%."
1016,667484,Critical Theory II,"MODULE DESCRIPTION    This module will introduce you to some of the key figures and concepts which inform current critical practice, and acquaint you with the terminology and discourses which constitute that practice. The focus is upon poststructuralist approaches to literature and culture, and we will thus be discussing ideas which have developed from linguistics, psychoanalysis, Marxism, postmodernism, gender studies and post-colonialism, in relation to specific textual examples.    LEARNING OUTCOMES    On completion of the module you will be able to:  1. Apply poststructuralist theory to the reading of a self-selected text.  2. Analyse and evaluate the continued role of theory in literary studies."
1017,667014,American civilization L3S5EC,American civilization L3S5EC
1018,667015,British civilization L3S6EC,British civilization L3S6EC
1019,667471,Critical Theory I,"MODULE DESCRIPTION    This module aims to introduce some of the fundamental concepts of literary criticism. It will encourage you to critically examine your assumptions about the nature of the literary, of meaning, and of interpretation, whilst acquainting you with the methodology and terminology which underpins current critical practices. Assessment is by two pieces of coursework and an examination.    LEARNING OUTCOMES    On completion of this module, you will be able to:  1 Identify ambiguity in a selected literary text.  2 Apply key theoretical concepts and positions to the study of primary texts.  3 Compare different theoretical approaches in relation to a selected literary text."
1020,667366,Welfare Economics,
1021,667707,English Level A2,
1022,667294,Molecular and Cellular Biology,What will I cover in this module?    You'll be introduced to the concepts and functioning of the cell unit in terms of structure and biochemical processes. You'll be assessed by coursework and exams.    How many credits is it worth?  15
1023,667375,Skills Lab year 2,
1024,667354,Econometrics 2 6 Cluster,
1025,667505,Human Genome,
1026,667521,Nursing Fundamentals II,
1027,667544,Practical Training,"0 HEQF credits.   Convener: Associate Professor F-J Kahlen.     Course outline: Electro-Mechanical and Mechanical Engineering students shall produce to the satisfaction of the head of the department, or a person designated by him / her, a certified employers report showing regular time-keeping and evidence of completion of suitable work in mechanical, electro-mechanical or materials engineering practice for a minimum period of six continuous weeks at the end of the Second Year. The student is expected to be involved with operation and maintenance of plant, under regular supervision and guidance. The student shall submit to the head of department or designee, his / her own report which shall include a description of the engineering task assigned to the student, the engineering approach taken by the student, and the outcomes of the project. The student's report to the department is to be submitted by the end of the week preceding the mid-semester break of the term immediately following the period of employment. In any case, reports of practical training carried out more than 12 months ago at the time of report submission will not be accepted. Selection of employment and acceptance of report require approval by head of department or designee.   Lecture times: Not applicable."
1028,667756,MVT English Reading,
1029,667741,VP Paper/Presentation KT3,
1030,667733,BPV 3rd yr workprocess 3.1,
1031,667261,Placement,
1032,667722,Dutch Level 3F,
1033,667723,English Level B1,
1034,667683,Vakdidactiek 2: VMBO,
1035,667684,Zorgend handelen 1A: EHBO,
1036,667717,BPV 2nd yr workprocess 1.5,
1037,667718,BPV 2nd yr workprocess 1.6,
1038,667735,Dutch Level exam,
1039,667499,Eighteenth Century Literature,"MODULE DESCRIPTION    The Eighteenth Century was a crucial era in the development of `modern¿ ideas about society, politics, literature, and the self. This module gives you the opportunity to study in depth one aspect of the literary culture of the eighteenth century. The narrow focus will allow you to become familiar with the historical contexts and generic conventions relevant to the topic of the module. Through the detailed study of one topic or issue, we will aim to gain critical insight into eighteenth-century intellectual life more broadly.    LEARNING OUTCOMES    On successful completion of this module you will be able to:  1. Analyse and interpret eighteenth-century literature with reference to generic, formal, and thematic aspects of the texts.  2. Critically discuss eighteenth-century texts with reference to the particular thematic, generic, or periodic focus of the module.  3. Evaluate and synthesise reading and research on one aspect of eighteenth-century literary culture.  4. Justify the historical and/or theoretical approaches adopted in the preparation of a research paper or critical essay."
1040,667461,Research Ethics,Research Ethics
1041,667577,Mechatronics Design I,"For Mechatronics and Electro-Mechanical Engineering students only.  12 NQF credits, 24 lectures, 24 practicals, 6 tutorials.  Prerequisites: EEE2038W, EEE2039W or equivalent.  Course outline: Elements of electromechanical systems. Industrial sensors, programmable logic controllers (PLCs), power electronics, actuators. Top-down and bottom-up strategies. Specifications, tenders, intellectual property and licensing. Case histories in mechatronic design.  DP requirements: Submission of all projects and class mark of 40% plus.  Assessment: Project, November examination 1¿ hours."
1042,667498,Realism and the Postmodern,"MODULE DESCRIPTION    This module aims to introduce some of the key developments in post-war British fiction in the context of ongoing critical and theoretical debates surrounding realist and postmodernist writing strategies. We will explore conflicting accounts of reality in post-war British fiction, from the `return to realism¿ of the 1950s to the postmodern `loss of the real¿ of the late twentieth century. Thus, we will examine the ways in which the realist genre has been remade, extended and critiqued in the post-war era.    LEARNING OUTCOMES    On successful completion of the module, you will be able to:  1. Critically review the relationship between literary texts and the social and cultural contexts of post-War Britain.  2. Critically evaluate the relationships between realist and experimental forms in postwar British writing.  3. Evaluate and synthesise a range of critical and theoretical positions with regard to the fiction studied."
1043,667561,Advanced Heat Transfer,"12 HEQF credits. Fourth year, first semester course.   Convener:   Course outline: Laws of heat transfer; principles of conduction; steady and unsteady state heat transfer, convection, radiation; pc interaction and problem solving.   Lecture times: Monday, Wednesday, Thursday, 2nd period.   Tutorial time: TBA.   Practicals: 2 practicals, by arrangement.   DP requirements: A minimum of 50% for laboratory reports and 40% for class tests.   Assessment: 2 laboratory reports count 10%; 2 class tests count 20%; the 3 hour June exam counts 70%."
1044,667842,Phonetics L2S4EC,Phonetics L2S4EC
1045,667743,VP LLB1 Learning,
1046,667745,VP LLB3 Politics,
1047,667748,VP LLB6 Quality of Life,
1048,667749,VP LLB7 Health,
1049,667710,VP2 workshop A,
1050,667795,Computational Fluid Dynamics,
1051,667681,Gezond en ziek 2,
1052,667711,VP2 workshop B,
1053,667713,Verpleegkunde QMP 2,
1054,667838,Law and Criminal Justice,
1055,667546,Mechanics of Solids II,"12 HEQF credits, 36 lectures, 3 practicals.   Convener: TBA.   Prerequisites: MEC2025F, MAM2080W (DP).   Course outline: Compound stresses and theories of failure; elastic strain energy; combined loading of shafts and beams; thin and thick cylinders; compound cylinders and shrink fits; elementary plasticity; rotating discs and shafts.   Lecture times: TBA.   Assessment: Class tests, laboratory reports, June examination 3 hours."
1056,667899,Microeconomics II: Economics o,Microeconomics II: Economics of Information
1057,667565,Failure Analysis,"8 HEQF credits, 24 lectures, 2 practicals.   Convener: Professor RB Tait.   Prerequisites: MEC2042F.   Co-requisites: MEC4035F.   Course outline: The methods of failure analysis, categories of failures: design, manufacturing, time in service. Importance of stress analysis and fracture mechanics. Case histories taken from industry concerning brittle fracture, ductile fracture, fatigue, corrosion and stress corrosion cracking and wear.   Lecture times: Two lectures per week as per timetable. No practicals or fieldwork.   DP Requirements: 35% class work average from 2 tutorials and 1 major assignment (experimental failure analysis case study)   Assessment: Marked class work (Tutorials and Failure analysis case study assignment) 25% October Examination 75% ."
1058,667308,Professional Practice,How many credits is it worth?  15
1059,667555,Industrial Ecology,"8 HEQF credits, 18 lectures/seminars.   Convener: TBA.   Course outline: The discipline of Industrial Ecology is becoming increasingly important as industry recognizes the growing need to reduce energy and materials consumption as well as the emission of waste in an attempt to minimize environmental impacts. The course situates industrial ecology within the broader framework of sustainability and deals with matters of broad principle rather than great detail. Issues discussed include: the current state of the environment and the impact industry has on it; industrial metabolism and ecosystem; life cycle assessment; design for environment; ecological economics.   Lecture times: TBA.   Assessment: Project, essays, assignments."
1060,667580,Computer Integrated Manufactur,"For Electro-Mechanical Engineering students only.  8 NQF credits, 24 lectures, 2 practical sessions.  Course outline: Computer Integrated Manufacturing, Computer Numerical Control (CNC) of Machine Tools; Flexible Manufacturing systems (FMS); Materials handling and Robot directed transfer systems; robot kinematics; low cost automation; software control systems; hardware interfacing.  Assessment: Assignments, June examination 2 hours."
1061,667532,Economics of European,Economics of European Integration
1062,667290,Essential Chemical Skills,How many credits is it worth?    15
1063,667911,Telecommunications Economics I,Telecommunications Economics I
1064,667808,"Human and Environment, Safety","Human and Environment, Safety and Regulations"
1065,667810,Administration III (BRA),Administration III (BRA)
1066,667811,Economics (BRA),Economics (BRA)
1067,667812,Financial Mathematics (BRA),Financial Mathematics (BRA)
1068,667816,Spreadsheets,Spreadsheets
1069,667833,Numerical analysis,Numerical analysis
1070,667759,MVT Engels Writing,
1071,667804,Technology of Radiotherapy,
1072,667829,Alemán,Alemán (ARG)
1073,667526,Clinical Lab IV: Adult Care,
1074,667763,From Genome to Organism,
1075,667619,Special Author: Kant,"The course unit will involve a close reading of key sections of Kant¿s Critique of Pure Reason, undoubtedly one of the most important works in the history of philosophy. We will address such central topics as: Kant¿s claims concerning the a priority of the fundamental principles of mathematics and geometry; Kant¿s case for the ideality of space and time; the duality of concepts and intuitions; the transcendental deduction of the categories; Kant¿s treatment of the concepts of substance and causality; the proper interpretation of Kant¿s transcendental idealism; the nature of transcendental arguments."
1076,667799,Medical Image to Comp. Model,
1077,667739,VP Competency Assessment KT1,
1078,667948,Rethinking Risk Management,Rethinking Risk Management
1079,667896,Econometrics I: Multiple Regre,Econometrics I: Multiple Regression and Inference
1080,667882,Financial Accounting,Financial Accounting
1081,667891,Managerial Accounting,Managerial Accounting
1082,667646,Jongeren & risicogedr 2: Seks,
1083,667647,Leerlingbegeleiding,
1084,667672,Leefstijl & gezondheid/ onderz,
1085,667673,Voeding 3: Voedingsleer,
1086,667675,Metawerk 3,
1087,667677,Zorgend handelen 2:Verpl./Zorg,
1088,667871,Language History L3S6EC,Language History L3S6EC
1089,667906,First Specialization Course I,First Specialization Course I
1090,667907,Industrial Organization II: Em,Industrial Organization II: Empirical Models
1091,667956,Anatomy and Physiology I,Anatomy and Physiology I
1092,667960,Pharmacology II,Pharmacology II
1093,667961,Basic Home Infusion Pharmacy,Basic Home Infusion Pharmacy
1094,667600,Mind and World,"The philosophy of mind and philosophy of language are central areas of contemporary analytical philosophy. This course unit serves as an introduction to some important and fascinating issues in these areas. We will read classic texts drawn from historical and contemporary sources. The course will begin with a study of one of Descartes¿s most famous and influential arguments for his claim that the mind is an immaterial substance distinct from the body and that can survive the death of the body, the so-called ¿conceivability argument¿. We then explore materialist theories of mind that identify mental states with physical states.    We also examine the doctrine of functionalism about the mental and one of the ideas it has inspired: computer minds. We then turn to the currently hot topic of consciousness, which is deemed to be an intractable mystery by some and a non-physical phenomenon by others. The remaining topics focus in one way or another on problems and puzzles about the ¿intentionality¿ of thought and language. Intentionality is the property of being directed towards something, being about something, or representing something. Our thoughts and our language reach out to or aim at or represent things beyond themselves. How are they able to do this? What gives the sentences of language their meaning and how do the words they contain manage to refer to things in reality? This course unit serves as an excellent introduction to more advanced topics covered in Philosophy of Mind and Philosophy of Language."
1095,667603,20th Century Philosophy,"Analytical philosophy has become the dominant tradition in contemporary philosophy and yet it is scarcely a century old. In this course we will explore the rise of this philosophical tradition by studying the historical conditions and figures that gave birth to it and some of the important problems, methods, and principles that have shaped and continue to shape it. We shall also examine some contemporary work in this tradition.    We begin by looking very briefly at the Post-Kantian, Absolute Idealist philosophy that dominated the British scene at the turn of the century and the rise of the new mathematical logic that helped to displace it. We then turn to the revolutionary works of Gottlob Frege, G. E. Moore, and Bertrand Russell, and the different roles they each played in setting the agenda for subsequent philosophy in the analytical tradition.    We go on to look at some of the most important philosophical developments in analytical philosophy after these great foundational works, such as Logical Positivism, Ordinary Language Philosophy, W. V. Quine¿s famous attack on the analytic/synthetic distinction and modality in general, and the effect of this attack on the materialist approach to the mind-body problem. Turing to more recent work, we explore Saul Kripke¿s celebrated revival of modal metaphysics and conclude with a study of the influential doctrine of externalism in the philosophhy of mind and language.    The course provides excellent background for the following advanced courses: PHIL 30252 Wittgenstein and PHIL30312 Philosophy of Language."
1096,667856,Linguistic System Disc. L2S3,Linguistic System Discovery - L2S3
1097,667917,Business and Finance III: Risk,Business and Finance III: Risk Management in Non-Banking Entities
1098,667922,Translation into Eng L3S5EC,Translation into Eng L3S5EC
1099,667925,Associated UE L2S3EC,Associated UE L2S3EC
